,流动比率,速动比率,产权比率,非筹资性现金净流量与流动负债的比率,非筹资性现金净流量与负债总额的比率,总资产净利率ROA,净资产收益率ROE(平均),销售净利率,销售期间费用率,净资产(同比增长率),总资产(同比增长率),营业总收入(同比增长率),净利润(同比增长率),应收账款周转率,流动资产周转率,固定资产周转率,总资产周转率(TTM),销售商品提供劳务收到的现金/营业收入,经营活动产生的现金流量净额/营业收入,全部资产现金回收率,资产负债率,流动负债权益比率,流动负债/负债合计,换手率,"市盈率PE
","市净率PB
",流通股合计占总股本比例,高管持股比例,国家持股比例,积极占比,消极占比,净语调,违约
1,0.5678,0.1696,1.6029,13.6632057,11.3829386,8.9823,33.8801,21.8454,34.2483,40.8032156,0.560126109,2.4659,67.06795237,302.1269,1.5363,1.0334,0.4112,95.63,15.74,6.45324506,61.5809,144.8272662,83.3109,596.6024088,39.60182899,11.47305834,66.59331826,0,0,0.049099039,0.039137557,0.112895133,1
2,0.61,0.209,1.4079,1.636221965,1.476237771,5.4361,16.8004,13.3608,37.3186,18.34103528,5.989519476,2.201,-37.49308204,294.7377,1.3254,0.8085,0.4069,106.7,14.05,5.556787392,58.4694,133.3746838,90.2223,229.1611452,103.1087361,15.98026383,66.68063284,9.54E-05,0,0.043017315,0.038179845,0.059576837,1
3,1.3202,0.8221,8.8658,-20.526088,-14.43757889,-3.0157,-26.7804,-10.0232,31.8802,-23.86679445,10.64002966,-18.3116,-2997.50581,0.8258,0.3604,3.4111,0.3009,60.94,-44.82,-12.83589294,89.864,684.0492285,70.3377,2124.58567,-30.01733706,9.298793859,96.64967819,0,0,0.035666161,0.027981304,0.120740986,1
4,0.9038,0.6126,19.9698,28.06652492,26.01873582,0.469,15.4597,2.5865,53.7442,31.3326784,-13.66096898,-32.9056,107.5379235,0.6542,0.2248,1.4381,0.1813,78.02,-26.81,-5.24630018,95.2312,2185.632431,92.7038,301.9258515,63.44710135,8.63869349,96.71817929,1.81E-06,0,0.034773125,0.025834019,0.147492625,1
5,0.8599,0.5185,134.8062,-0.589190152,-0.52396798,-4.1341,-169.1298,-17.2305,35.5762,-92.21701787,-4.756044809,19.7089,-897.4779174,1.0378,0.308,1.5614,0.2399,74.22,-1.13,-0.279094195,99.2637,26744.28823,88.9302,437.0412851,-6.127555127,71.75985849,96.71816387,0,0,0.033379886,0.027616594,0.09448565,1
6,1.0952,0.9037,5.5795,2.939474626,1.944485897,-22.5803,-508.3259,-310.9945,200.2217,1546.751329,-64.6332099,-80.0167,-260.6780406,0.3644,0.1007,0.3962,0.0726,118.2,-3.76,-0.52285906,84.8012,365.0028062,66.1508,403.7384514,-3.837767565,10.34651244,99.81464172,0,0,0.036850684,0.030366381,0.096468108,1
7,0.9036,0.6472,14.9993,-27.50440721,-17.41728737,-11.5008,-98.1719,-54.6615,46.2028,-67.15881033,-22.97235076,34.0271,76.44292581,2.0283,0.3625,0.8312,0.2104,31.49,-67.62,-16.34800853,93.7497,906.0144003,63.3254,63.13364954,-8.597720712,17.07081899,99.81464172,0,0,0.039220637,0.03135126,0.111508646,1
8,0.689,0.3999,31.38017143,-4.004117669,-2.603765171,-22.0062,-127.0364143,-55.3771,34.5203,-236.7029452,-46.09988103,26.4776,-28.13338453,3.9315,0.7418,1.4043,0.3974,43.2,-18.21,-10.33263326,119.2684,-466.6800168,65.0272,77.97139315,-9.831281703,-17.05613624,99.8147308,0,0,0.036983343,0.032238056,0.068552305,1
9,0.9372,0.8033,2.0052,-32.29906274,-28.52585862,-2.4753,-7.4308,-7.2997,22.7071,-3.236598871,3.232635338,-21.8984,-152.8633048,2.9096,0.6403,1.2294,0.3391,86.6,31.74,10.61115463,66.7243,181.240158,88.3179,227.5489675,-16.60105096,1.257956014,98.90249557,0.010520898,0,0.037476644,0.030234007,0.10696452,1
10,0.8634,0.7197,1.8095,-16.43673608,-14.30482767,-1.1765,-3.6207,-3.7068,22.7274,-9.522540104,-16.13023062,-12.8392,55.7396361,4.372,0.609,1.1059,0.3174,72.82,5.75,2.003321526,64.406,161.3899113,87.0296,704.1381593,-22.84375168,0.876467299,98.92246259,0.010520898,0,0.040953396,0.029622297,0.160552438,1
